sample_name,Assey_Type,AvgSpotLen,Bases,BioProject,BioSample,Size,Colection_Date,Consent,Experiment,ScientificName,Specie,Zootechnic_mangement,Flowering_type,Contry,Continent,City,Latitud,Longitud,Model,LibraryName,LibrarySource,SRAStudy,Platform,ID,LibraryLayout,CenterName,Notas
SRR12632500,WGS,211,635106220,PRJNA662672,SAMN16092459,240 Mb,01/08/2018,public,SRX9114697,honey metagenome,not colected,not colected,not colected,Finland,Europa,Tuusula,60.39,25.02,NextSeq 500,NFI05_S5_,GENOMIC,SRP281932,ILLUMINA,NFI05,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632499,WGS,222,616320261,PRJNA662672,SAMN16092460,235 Mb,01/08/2018,public,SRX9114698,honey metagenome,not colected,not colected,not colected,Finland,Europa,Kirkkonummi,60.19,24.33,NextSeq 500,NFI06_S6_,GENOMIC,SRP281932,ILLUMINA,NFI06,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632498,WGS,191,531065014,PRJNA662672,SAMN16092461,199 Mb,01/08/2018,public,SRX9114699,honey metagenome,not colected,not colected,not colected,Finland,Europa,Sikila,60.51,25.79,NextSeq 500,NFI07_S7_,GENOMIC,SRP281932,ILLUMINA,NFI07,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632497,WGS,193,565635534,PRJNA662672,SAMN16092462,211 Mb,01/08/2018,public,SRX9114700,honey metagenome,not colected,not colected,not colected,Finland,Europa,Kangas,63.21,28.06,NextSeq 500,NFI08_S8_,GENOMIC,SRP281932,ILLUMINA,NFI08,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632496,WGS,210,621298597,PRJNA662672,SAMN16092463,233 Mb,01/08/2018,public,SRX9114701,honey metagenome,not colected,not colected,not colected,Finland,Europa,Autionpera,64.77,27.26,NextSeq 500,NFI09_S9_,GENOMIC,SRP281932,ILLUMINA,NFI09,PAIRED,UNIVERSITY OF HELSINKI,
ERR3799300,WGS,200,6024757600,PRJEB36075,SAMEA6455793,3845 Mb,2018,public,ERX3801273,honey metagenome,Apis mellifera,not colected,not colected,Italy,Europa,not colected,43.346443,12.26472,BGISEQ-500,HB12,METAGENOMIC,ERP119210,BGISEQ,SAMEA6455793,PAIRED,ANISA,
ERR3799301,WGS,200,6075307600,PRJEB36075,SAMEA6455794,3876 Mb,2018,public,ERX3801274,honey metagenome,Apis mellifera,not colected,not colected,Italy,Europa,not colected,43.346443,12.26472,BGISEQ-500,HB13,METAGENOMIC,ERP119210,BGISEQ,SAMEA6455794,PAIRED,ANISA,
SRR12632503,WGS,210,646363618,PRJNA662672,SAMN16092468,244 Mb,01/08/2018,public,SRX9114694,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Leksvall,59.95,23.38,NextSeq 500,NES14_S14_,GENOMIC,SRP281932,ILLUMINA,NES14,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632502,WGS,190,536147152,PRJNA662672,SAMN16092469,199 Mb,01/08/2018,public,SRX9114695,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Meremoisa,59.39,24.27,NextSeq 500,NES15_S15_,GENOMIC,SRP281932,ILLUMINA,NES15,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632501,WGS,204,595049299,PRJNA662672,SAMN16092458,225 Mb,01/08/2018,public,SRX9114696,honey metagenome,not colected,not colected,not colected,Finland,Europa,Vesilahti,61.23,23.56,NextSeq 500,NFI04_S4_,GENOMIC,SRP281932,ILLUMINA,NFI04,PAIRED,UNIVERSITY OF HELSINKI,
ERR3799299,WGS,200,6088228600,PRJEB36075,SAMEA6455792,3955 Mb,2018,public,ERX3801272,honey metagenome,Apis mellifera,not colected,not colected,Italy,Europa,not colected,43.346443,12.26472,BGISEQ-500,HB09,METAGENOMIC,ERP119210,BGISEQ,SAMEA6455792,PAIRED,ANISA,
SRR28682306,WGS,300,10331955900,PRJNA1088132,SAMN40462709,3499 Mb,not provided,public,SRX24250375,honey metagenome,not colected,not colected,not colected,Turkey,"Europa, Asia",Bayburt,40.26016244,40.22828419,Illumina NovaSeq 6000,PL,METAGENOMIC,SRP501788,ILLUMINA,Bread,PAIRED,ISTANBUL UNIVERSITY,
SRR28682305,WGS,300,11960252700,PRJNA1088132,SAMN40462710,3804 Mb,not provided,public,SRX24250376,honey metagenome,not colected,not colected,not colected,Turkey,"Europa, Asia",Bayburt,40.26016244,40.22828419,Illumina NovaSeq 6000,EK,METAGENOMIC,SRP501788,ILLUMINA,Pollen,PAIRED,ISTANBUL UNIVERSITY,
SRR28682307,WGS,300,11093731800,PRJNA1088132,SAMN40462708,3674 Mb,not provided,public,SRX24250374,honey metagenome,not colected,not colected,not colected,Turkey,"Europa, Asia",Bayburt,40.26016244,40.22828419,Illumina NovaSeq 6000,BL,METAGENOMIC,SRP501788,ILLUMINA,Honey,PAIRED,ISTANBUL UNIVERSITY,
Melli_21,WGS,not provided,10.015.644.874,PRJNA1235305,SAMN47325571,not provided,24/04/2022,privet,not provided,honey metagenome,Melipona beecheii,Mixed honey,Multifloral,Mexico,America,Jose Maria Morelos,19.796053,88.774822,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671097,PAIRED,not provided,
Melli_22,WGS,not provided,11.666.604.884,PRJNA1235305,SAMN47325572,not provided,24/04/2022,non-public,not provided,honey metagenome,Melipona beecheii,Jobon,Multifloral,Mexico,America,Jose Maria Morelos,19.796053,88.774822,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671096,PAIRED,not provided,
Melli_39,WGS,not provided,11.714.918.240,PRJNA1235305,SAMN47325573,not provided,24/04/2022,non-public,not provided,honey metagenome,Melipona beecheii,Beehive box,Multifloral,Mexico,America,Jose Maria Morelos,19.796053,88.774822,Illumina NovaSeq 6000,not provided,METAGENOMIC,SRP569975,ILLUMINA,SRR32671088,PAIRED,not provided,
