Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
39_Melli.029	Bacteria	5449	104	58	79.15	9.34	13.64	4335232	0	2005	2005	2292	2292	2162	2162	51972	51972	29.1	1.86	70.26	11	6057	24	69	7	3	1	0
39_Melli.030	Bacteria	5449	104	58	3.53	2.04	40.00	445630	0	121	121	5355	5355	3682	3682	24699	24699	43.6	1.43	38.24	11	598	96	5	2	1	0	0
39_Melli.031	Bacteria	5449	104	58	3.40	0.16	100.00	362727	0	154	154	2838	2838	2355	2355	10666	10666	48.0	2.25	43.87	11	522	98	5	1	0	0	0
39_Melli.032	Bacteria	5449	104	58	58.11	23.01	76.47	3108656	0	675	675	7691	7691	4605	4605	41713	41713	46.3	1.26	86.48	11	3495	47	40	17	0	0	0
39_Melli.033	Bacteria	5449	104	58	50.80	19.83	100.00	2721467	0	635	635	6190	6190	4285	4285	45925	45925	49.3	1.37	90.67	11	2909	63	28	13	0	0	0
39_Melli.034	Bacteria	5449	104	58	0.00	0.00	0.00	916739	0	582	582	1500	1500	1575	1575	7678	7678	42.9	2.73	77.96	11	1155	104	0	0	0	0	0
39_Melli.035	Bacteria	5449	104	58	0.00	0.00	0.00	428102	0	147	147	4021	4021	2912	2912	12541	12541	44.3	1.46	14.52	11	319	104	0	0	0	0	0
39_Melli.036	Bacteria	5449	104	58	88.64	44.70	15.20	6370570	0	3579	3579	1740	1740	1779	1779	34519	34519	38.4	7.67	76.43	11	7787	8	50	26	11	0	9
39_Melli.037	Bacteria	5449	104	58	39.95	0.47	0.00	1465627	0	740	740	2006	2006	1980	1980	23720	23720	55.2	2.52	88.13	11	1960	47	54	3	0	0	0
40_Melli.001	Bacteria	5449	104	58	53.79	21.37	42.42	1239364	0	125	125	28788	28788	9914	9914	125104	125104	41.1	3.02	90.24	11	1336	35	42	24	3	0	0
40_Melli.002	Bacteria	5449	104	58	87.49	52.15	34.48	2165055	0	263	263	17699	17699	8232	8232	104650	104650	43.2	5.73	85.49	11	1987	20	48	25	11	0	0
40_Melli.003	Bacteria	5449	104	58	67.01	30.83	39.29	1515022	0	372	372	5725	5725	4072	4072	130373	130373	40.2	5.90	87.00	11	1780	43	35	25	1	0	0
40_Melli.004	Bacteria	5449	104	58	22.77	5.64	100.00	656569	0	269	269	2664	2664	2440	2440	14979	14979	43.9	4.38	88.25	11	770	65	27	6	6	0	0
40_Melli.005	Bacteria	5449	104	58	56.66	22.13	88.89	819065	0	260	260	4091	4091	3150	3150	23960	23960	43.7	4.15	88.30	11	982	33	48	21	2	0	0
40_Melli.006	Bacteria	5449	104	58	12.87	5.34	52.94	1147399	0	302	302	5999	5999	3799	3799	29632	29632	35.2	6.24	78.24	11	1278	69	20	14	1	0	0
40_Melli.007	Bacteria	5449	104	58	32.92	15.52	50.00	1158258	0	450	450	3152	3152	2573	2573	17690	17690	46.3	4.06	89.19	11	1366	83	11	10	0	0	0
40_Melli.008	Bacteria	5449	104	58	63.75	41.54	79.07	1260914	0	367	367	4700	4700	3435	3435	20498	20498	41.8	3.13	88.43	11	1526	45	38	13	6	2	0
40_Melli.009	Bacteria	5449	104	58	34.56	34.95	71.43	2562713	0	561	561	6832	6832	4568	4568	179207	179207	35.0	4.49	82.51	11	2906	67	20	11	4	2	0
40_Melli.010	Bacteria	5449	104	58	5.02	3.21	100.00	1390060	0	134	134	18900	18900	10373	10373	49718	49718	44.6	3.10	28.75	11	1282	91	8	4	1	0	0
40_Melli.011	Bacteria	5449	104	58	67.87	42.24	85.71	966783	0	272	272	4860	4860	3554	3554	18245	18245	42.1	2.00	89.98	11	1167	51	27	23	2	1	0
40_Melli.012	Bacteria	5449	104	58	41.30	26.02	82.61	1751618	0	651	651	3141	3141	2690	2690	58290	58290	47.1	3.38	88.89	11	2165	71	20	8	5	0	0
40_Melli.013	Bacteria	5449	104	58	24.45	1.72	0.00	1053779	0	272	272	6568	6568	3874	3874	70740	70740	41.7	1.72	87.22	11	1349	87	16	1	0	0	0
40_Melli.014	Bacteria	5449	104	58	88.56	40.05	32.50	2729092	0	602	602	8975	8975	4533	4533	81550	81550	40.9	3.94	86.67	11	2951	15	59	25	5	0	0
40_Melli.015	Bacteria	5449	104	58	50.16	21.55	86.67	1219455	0	349	349	5455	5455	3494	3494	39193	39193	44.1	1.76	89.37	11	1505	70	23	9	2	0	0
40_Melli.016	Bacteria	5449	104	58	30.02	26.60	35.80	5201740	0	1272	1272	6540	6540	4089	4089	573108	573108	34.7	5.10	80.41	11	5867	59	29	8	3	2	3
40_Melli.017	Bacteria	5449	104	58	16.93	2.04	66.67	1482115	0	478	478	3786	3786	3100	3100	68530	68530	46.6	2.97	87.30	11	1855	85	16	3	0	0	0
40_Melli.018	Bacteria	5449	104	58	33.89	11.21	100.00	1210236	0	420	420	3768	3768	2881	2881	36198	36198	43.0	2.00	89.79	11	1420	76	21	6	1	0	0
40_Melli.019	Bacteria	5449	104	58	96.55	7.21	16.67	1612912	0	263	263	11101	11101	6132	6132	70627	70627	37.4	1.79	89.94	11	1743	2	96	6	0	0	0
40_Melli.020	Bacteria	5449	104	58	10.42	1.72	0.00	5497239	0	2191	2191	2848	2848	2509	2509	143092	143092	38.7	3.55	90.30	11	4970	92	11	1	0	0	0
40_Melli.021	Bacteria	5449	104	58	66.54	55.04	80.39	1598421	0	635	635	2900	2900	2517	2517	26085	26085	39.3	1.51	88.50	11	2249	50	27	18	7	2	0
