BioSample,SRA,Geographic location,Latitude,Longitude
SAMN42493323,SRS21996020,Estonia,,
SAMN42493324,SRS21996019,Estonia,,
SAMN42493325,SRS21996021,Estonia,,
SAMN42493326,SRS21995753,Estonia,,
SAMN42493327,SRS21995755,Estonia,,
SAMN42493328,SRS21995756,Estonia,,
SAMN42493329,SRS21995757,Estonia,,
SAMN42493330,SRS21996028,Estonia,,
SAMN42493331,SRS21996027,Estonia,,
SAMN42493332,SRS21996029,Estonia,,
SAMN42493333,SRS21996030,Estonia,,
SAMN42493334,SRS21996032,Estonia,,
SAMN42493335,SRS21996031,Estonia,,
SAMN42493336,SRS21996034,Estonia,,
SAMN42493337,SRS21996037,Estonia,,
SAMN42493338,SRS21996035,Estonia,,
SAMN42493339,SRS21996036,Estonia,,
SAMN42493340,SRS21996038,Estonia,,
SAMN42493341,SRS21996039,Estonia,,
SAMN42493342,SRS21996041,Estonia,,
SAMN42493343,SRS21996040,Estonia,,
SAMN42493344,SRS21995772,Estonia,,
SAMN42493345,SRS21995773,Estonia,,
SAMN42493346,SRS21995920,Bulgaria,,
SAMN42493347,SRS21995922,Bulgaria,,
SAMN42493348,SRS21995758,Bulgaria,,
SAMN42493349,SRS21995759,Bulgaria,,
SAMN42493350,SRS21995760,Bulgaria,,
SAMN42493351,SRS21995761,Bulgaria,,
SAMN42493352,SRS21995762,Bulgaria,,
SAMN42493353,SRS21995763,Bulgaria,,
SAMN42493354,SRS21995765,Bulgaria,,
SAMN42493356,SRS21995767,Estonia,,
SAMN42493357,SRS21995768,Estonia,,
SAMN42493358,SRS21995770,Estonia,,
SAMN42493359,SRS21995769,Estonia,,
SAMN42493360,SRS21995771,Estonia,,
SAMN42493361,SRS21995935,Estonia,,
SAMN42493362,SRS21995777,Estonia,,
SAMN42493363,SRS21995779,Estonia,,
SAMN42493364,SRS21995781,Austria,,
SAMN42493365,SRS21995782,Estonia,,
SAMN42493366,SRS21995923,Estonia,,
SAMN42493367,SRS21995924,Estonia,,
SAMN42493368,SRS21995925,Estonia,,
SAMN42493369,SRS21995926,Estonia,,
SAMN42493370,SRS21995927,Estonia,,
SAMN42493371,SRS21995928,Estonia,,
SAMN42493372,SRS21995929,Estonia,,
SAMN42493373,SRS21995930,Estonia,,
SAMN42493374,SRS21995938,Estonia,,
SAMN42493375,SRS21995937,Estonia,,
SAMN42493376,SRS21995933,Estonia,,
SAMN42493377,SRS21995932,Estonia,,
SAMN42493378,SRS21995931,Estonia,,
SAMN42493379,SRS21995775,Estonia,,
SAMN42493380,SRS21995776,United Kingdom,,
SAMN42493381,SRS21995778,United Kingdom,,
SAMN42493382,SRS21995780,Ghana,,
SAMN42493383,SRS21996042,India,,
SAMN42493384,SRS21995784,India,,
SAMN42493385,SRS21995786,India,,
SAMN42493386,SRS21995787,India,,
SAMN42493387,SRS21995788,Saudi Arabia,,
SAMN42493394,SRS21995848,Ukraine,,
SAMN47760422,SRS24584644,"India: south 24 parganas, Sundarban,Boney camp",21.49,88.37
SAMN47760423,SRS24584646,"India: south 24 parganas, Sundarban, kalas",21.41,88.34
SAMN47760424,SRS24584645,"India: south 24 parganas, Sundarban, Chulkati",21.35,88.32
